"chr"	"start"	"end"	"strand"	"name"
"5352"	"chr7"	32893630	32894631	"-"	"KBTBD2"
"5353"	"chr12"	32896339	32897340	"-"	"PKP2"
"5354"	"chr1"	32900937	32901938	"-"	"TMEM54"
"5355"	"chr17"	32927409	32928410	"+"	"TMEM98"
"5356"	"chr14"	32934432	32935433	"+"	"NPAS3"
"5357"	"chr6"	32940569	32941570	"-"	"HLA-DMB"
"5358"	"chr2"	32946471	32947472	"+"	"LTBP1"
"5359"	"chr3"	32951073	32952074	"+"	"CCR4"
"5360"	"chr6"	32952621	32953622	"-"	"XXbac-BPG181M17.5"
"5361"	"chr7"	32956903	32957904	"+"	"FKBP9"
"5362"	"chr1"	32964184	32965185	"-"	"RNF19B"
"5363"	"chr6"	32968159	32969160	"+"	"BRD2"
"5364"	"chr6"	32968593	32969594	"-"	"HLA-DMA"
"5365"	"chr17"	32969875	32970876	"+"	"SPACA3"
"5366"	"chr19"	32971490	32972491	"-"	"CEP89"
"5367"	"chr19"	32971708	32972709	"+"	"FAAP24"
"5368"	"chr20"	33003932	33004933	"-"	"SUN5"
"5369"	"chr10"	33005291	33006292	"-"	"ITGB1"
"5370"	"chr20"	33007099	33008100	"+"	"BPIFB2"
"5371"	"chr6"	33009111	33010112	"-"	"HLA-DOA"
"5372"	"chr11"	33015363	33016364	"+"	"DEPDC7"
"5373"	"chr13"	33015932	33016933	"+"	"KL"
"5374"	"chr9"	33024667	33025668	"-"	"APTX"
"5375"	"chr9"	33024710	33025711	"+"	"DNAJA1"
"5376"	"chr21"	33025344	33026345	"+"	"OLIG2"
"5377"	"chr20"	33031147	33032148	"+"	"BPIFB6"
"5378"	"chr11"	33038916	33039917	"+"	"TCP11L1"
"5379"	"chr20"	33054923	33055924	"+"	"BPIFB3"
"5380"	"chr22"	33057871	33058872	"-"	"SYN3"
"5381"	"chr7"	33062296	33063297	"-"	"NT5C3A"
"5382"	"chr19"	33064387	33065388	"-"	"RHPN2"
"5383"	"chr21"	33069643	33070644	"+"	"OLIG1"
"5384"	"chr6"	33075425	33076426	"+"	"HLA-DPB1"
"5385"	"chr9"	33076158	33077159	"-"	"SMU1"
"5386"	"chr20"	33079143	33080144	"+"	"BPIFB4"
"5387"	"chr6"	33080274	33081275	"-"	"HLA-DPA1"
"5388"	"chr19"	33080379	33081380	"+"	"GPATCH1"
"5389"	"chr1"	33080495	33081496	"-"	"AK2"
"5390"	"chr1"	33080603	33081604	"+"	"AZIN2"
"5391"	"chr3"	33096300	33097301	"-"	"TMPPE"
"5392"	"chr3"	33096729	33097730	"-"	"GLB1"
"5393"	"chr7"	33108900	33109901	"-"	"RP9"
"5394"	"chr3"	33113478	33114479	"+"	"CRTAP"
"5395"	"chr7"	33128743	33129744	"+"	"BBS9"
"5396"	"chr19"	33131589	33132590	"+"	"WDR88"
"5397"	"chr20"	33161267	33162268	"+"	"BPIFA2"
"5398"	"chr11"	33161870	33162871	"-"	"CSTF3"
"5399"	"chr9"	33166855	33167856	"-"	"B4GALT1"
"5400"	"chr19"	33177102	33178103	"+"	"LRP3"
"5401"	"chr1"	33181558	33182559	"-"	"TRIM62"
"5402"	"chr6"	33191998	33192999	"-"	"COL11A2"
"5403"	"chr16"	33193158	33194159	"+"	"TP53TG3C"
"5404"	"chr15"	33194232	33195233	"-"	"FMN1"
"5405"	"chr6"	33199944	33200945	"+"	"SLC39A7"
"5406"	"chr6"	33200187	33201188	"-"	"RXRB"
"5407"	"chr6"	33204141	33205142	"+"	"HSD17B8"
"5408"	"chr6"	33207994	33208995	"+"	"RING1"
"5409"	"chr20"	33216809	33217810	"+"	"BPIFA3"
"5410"	"chr9"	33217864	33218865	"+"	"SPINK4"
"5411"	"chr3"	33218714	33219715	"-"	"SUSD5"
"5412"	"chr19"	33225349	33226350	"-"	"SLC7A10"
"5413"	"chr21"	33229400	33230401	"+"	"IFNAR2"
"5414"	"chr20"	33235494	33236495	"+"	"BPIFA1"
"5415"	"chr21"	33246273	33247274	"+"	"AP000295.9"
"5416"	"chr1"	33256044	33257045	"+"	"ZNF362"
"5417"	"chr11"	33256171	33257172	"+"	"HIPK3"
"5418"	"chr9"	33264219	33265220	"-"	"BAG1"
"5419"	"chr9"	33264378	33265379	"+"	"CHMP5"
"5420"	"chr21"	33265857	33266858	"+"	"IL10RB"
"5421"	"chr6"	33271509	33272510	"+"	"RPS18"
"5422"	"chr6"	33271546	33272547	"-"	"VPS52"
"5423"	"chr20"	33272979	33273980	"+"	"BPIFB1"
"5424"	"chr3"	33276524	33277525	"+"	"FBXL2"
"5425"	"chr6"	33276631	33277632	"+"	"B3GALT4"
"5426"	"chr6"	33288801	33289802	"+"	"PFDN6"
"5427"	"chr6"	33289026	33290027	"-"	"WDR46"
"5428"	"chr9"	33290010	33291011	"+"	"NFX1"
"5429"	"chr6"	33298823	33299824	"-"	"RGL2"
"5430"	"chr19"	33302063	33303064	"-"	"CEBPA"
"5431"	"chr16"	33303238	33304239	"+"	"TP53TG3E"
"5432"	"chr15"	33310444	33311445	"+"	"RYR3"
"5433"	"chr6"	33313886	33314887	"-"	"TAPBP"
"5434"	"chr6"	33317441	33318442	"-"	"ZBTB22"
"5435"	"chr1"	33320597	33321598	"-"	"A3GALT2"
"5436"	"chr21"	33323976	33324977	"+"	"IFNAR1"
"5437"	"chr6"	33328785	33329786	"-"	"DAXX"
"5438"	"chr10"	33335761	33336762	"-"	"NRP1"
"5439"	"chrX"	33338940	33339941	"-"	"DMD"
"5440"	"chr13"	33350129	33351130	"-"	"STARD13"
"5441"	"chr16"	33359773	33360774	"+"	"TP53TG3B"
"5442"	"chr19"	33372829	33373830	"+"	"CEBPG"
"5443"	"chr6"	33391035	33392036	"+"	"KIFC1"
"5444"	"chr20"	33401060	33402061	"-"	"CDK5RAP1"
"5445"	"chr9"	33402181	33403182	"-"	"AQP7"
"5446"	"chr21"	33402395	33403396	"+"	"IFNGR2"
"5447"	"chr6"	33409898	33410899	"+"	"PHF1"
"5448"	"chr6"	33417816	33418817	"-"	"CUTA"
"5449"	"chr6"	33419160	33420161	"+"	"SYNGAP1"
"5450"	"chr1"	33430551	33431552	"-"	"PHC2"
"5451"	"chr2"	33435823	33436824	"+"	"RASGRP3"
"5452"	"chr12"	33439318	33440319	"-"	"SYT10"
"5453"	"chr5"	33440195	33441196	"+"	"TARS"
"5454"	"chr18"	33440600	33441601	"-"	"CCDC178"
"5455"	"chr3"	33440870	33441871	"-"	"UBP1"
"5456"	"chr20"	33443391	33444392	"-"	"SNTA1"
"5457"	"chr9"	33447110	33448111	"-"	"AQP3"
"5458"	"chr6"	33453469	33454470	"+"	"ZBTB9"
"5459"	"chr16"	33458544	33459545	"+"	"TP53TG3F"
"5460"	"chr1"	33472144	33473145	"+"	"ZSCAN20"
"5461"	"chr8"	33472921	33473922	"-"	"FUT10"
"5462"	"chr9"	33473429	33474430	"-"	"NOL6"
"5463"	"chr21"	33479510	33480511	"-"	"TMEM50B"
"5464"	"chr8"	33484249	33485250	"+"	"MAK16"
"5465"	"chr20"	33489574	33490575	"+"	"CBFA2T2"
"5466"	"chr21"	33491219	33492220	"-"	"DNAJC28"
"5467"	"chr8"	33513100	33514101	"-"	"TTI2"
"5468"	"chr19"	33521293	33522294	"-"	"PEPD"
"5469"	"chr9"	33523893	33524894	"+"	"ANKRD18B"
"5470"	"chr11"	33541571	33542572	"+"	"KIAA1549L"
"5471"	"chr21"	33542117	33543118	"+"	"SON"
"5472"	"chr21"	33542990	33543991	"-"	"GART"
"5473"	"chr8"	33566624	33567625	"-"	"RNF122"
"5474"	"chr18"	33578076	33579077	"+"	"ASXL3"
"5475"	"chr6"	33579792	33580793	"-"	"BAK1"
"5476"	"chr21"	33588207	33589208	"-"	"DONSON"
"5477"	"chr2"	33598881	33599882	"-"	"FAM98A"
"5478"	"chr8"	33599605	33600606	"-"	"DUSP26"
"5479"	"chr6"	33619864	33620865	"+"	"ITPR3"
"5480"	"chr19"	33621454	33622455	"+"	"CHST8"
"5481"	"chr21"	33641899	33642900	"+"	"ITSN1"
"5482"	"chr21"	33643425	33644426	"-"	"CRYZL1"
"5483"	"chr20"	33661783	33662784	"+"	"C20orf144"
"5484"	"chr20"	33665997	33666998	"+"	"ACTL10"
"5485"	"chr20"	33673962	33674963	"-"	"NECAB3"
"5486"	"chr20"	33685903	33686904	"-"	"E2F1"
"5487"	"chr11"	33700300	33701301	"-"	"C11orf91"
"5488"	"chr6"	33711226	33712227	"-"	"UQCC2"
"5489"	"chr3"	33717855	33718856	"-"	"CLASP2"
"5490"	"chr20"	33719818	33720819	"-"	"PXMP4"
"5491"	"chr20"	33731156	33732157	"+"	"ZNF341"
"5492"	"chr11"	33735944	33736945	"-"	"CD59"
"5493"	"chr6"	33746404	33747405	"-"	"IP6K3"
"5494"	"chr9"	33749965	33750966	"+"	"PRSS3"
"5495"	"chr11"	33774042	33775043	"-"	"FBXO3"
"5496"	"chr6"	33788635	33789636	"-"	"LEMD2"
"5497"	"chr19"	33795432	33796433	"+"	"KCTD15"
"5498"	"chr3"	33797851	33798852	"+"	"PDCD6IP"
"5499"	"chr6"	33803510	33804511	"-"	"MLN"
"5500"	"chr20"	33810803	33811804	"+"	"CHMP4B"
"5501"	"chr9"	33817066	33818067	"+"	"UBE2R2"
"5502"	"chr13"	33817548	33818549	"+"	"RFC3"
"5503"	"chr16"	33844728	33845729	"-"	"RP11-812E19.9"
"5504"	"chr1"	33859974	33860975	"+"	"HMGB4"
"5505"	"chr5"	33891691	33892692	"-"	"ADAMTS12"
"5506"	"chr11"	33891788	33892789	"-"	"LMO2"
"5507"	"chr7"	33904410	33905411	"+"	"BMPER"
"5508"	"chr21"	33915479	33916480	"-"	"ATP5O"
"5509"	"chr22"	33922340	33923341	"-"	"LARGE1"
"5510"	"chr21"	33931106	33932107	"-"	"AP000304.12"
"5511"	"chr5"	33935885	33936886	"+"	"RXFP3"
"5512"	"chr15"	33968219	33969220	"+"	"CHRM5"
"5513"	"chr5"	33984229	33985230	"-"	"SLC45A2"
"5514"	"chr20"	33993145	33994146	"+"	"RALY"
"5515"	"chr5"	34007607	34008608	"-"	"AMACR"
"5516"	"chr12"	34021780	34022781	"+"	"ALG10"
"5517"	"chr15"	34038675	34039676	"-"	"AVEN"
"5518"	"chr5"	34043331	34044332	"-"	"C1QTNF3"
"5519"	"chr9"	34048448	34049449	"-"	"UBAP2"
"5520"	"chr11"	34051182	34052183	"+"	"CAPRIN1"
"5521"	"chr21"	34072723	34073724	"+"	"MRPS6"
"5522"	"chr21"	34073069	34074070	"+"	"SLC5A3"
"5523"	"chr15"	34101447	34102448	"-"	"EMC7"
"5524"	"chr15"	34101572	34102573	"+"	"PGBD4"
"5525"	"chr11"	34105101	34106102	"+"	"NAT10"
"5526"	"chr20"	34111831	34112832	"-"	"EIF2S2"
"5527"	"chr5"	34124027	34125028	"-"	"C1QTNF3-AMACR"
"5528"	"chr9"	34126898	34127899	"-"	"DCAF12"
"5529"	"chrX"	34131813	34132814	"-"	"FAM47A"
"5530"	"chr6"	34155121	34156122	"-"	"GRM4"
"5531"	"chr1"	34165341	34166342	"-"	"CSMD2"
"5532"	"chr1"	34166382	34167383	"+"	"C1orf94"
"5533"	"chr19"	34172003	34173004	"+"	"LSM14A"
"5534"	"chr17"	34174463	34175464	"-"	"ASIC2"
"5535"	"chr9"	34178504	34179505	"+"	"UBAP1"
"5536"	"chr20"	34194068	34195069	"+"	"ASIP"
"5537"	"chr15"	34209595	34210596	"-"	"KATNBL1"
"5538"	"chr18"	34224451	34225452	"-"	"NOL4"
"5539"	"chr15"	34224498	34225499	"+"	"EMC4"
"5540"	"chr6"	34236372	34237373	"+"	"HMGA1"
"5541"	"chr6"	34248969	34249970	"-"	"C6orf1"
"5542"	"chr19"	34254036	34255037	"+"	"KIAA0355"
"5543"	"chr17"	34254717	34255718	"+"	"CCL2"
"5544"	"chr17"	34269720	34270721	"+"	"CCL7"
"5545"	"chr17"	34285167	34286168	"+"	"CCL11"
"5546"	"chr9"	34310870	34311871	"-"	"KIF24"
"5547"	"chr20"	34311301	34312302	"-"	"AHCY"
"5548"	"chr17"	34318535	34319536	"+"	"CCL8"
"5549"	"chr9"	34329005	34330006	"+"	"NUDT2"
"5550"	"chr15"	34337559	34338560	"-"	"SLC12A6"
"5551"	"chr15"	34342676	34343677	"-"	"NOP10"
"5552"	"chr15"	34342814	34343815	"+"	"NUTM1"
"5553"	"chr17"	34355951	34356952	"+"	"CCL13"
"5554"	"chr11"	34357507	34358508	"-"	"ABTB2"
"5555"	"chr19"	34358979	34359980	"+"	"GPI"
"5556"	"chr17"	34362730	34363731	"-"	"CCL1"
"5557"	"chr20"	34362734	34363735	"+"	"ITCH"
"5558"	"chr21"	34363523	34364524	"+"	"KCNE2"
"5559"	"chr15"	34366777	34367778	"-"	"LPCAT4"
"5560"	"chr21"	34374979	34375980	"+"	"SMIM11A"
"5561"	"chr9"	34376352	34377353	"-"	"KIAA1161"
"5562"	"chr6"	34392173	34393174	"-"	"NUDT3"
"5563"	"chr19"	34395814	34396815	"+"	"RP11-618P17.4"
"5564"	"chr9"	34397331	34398332	"-"	"C9orf24"
"5565"	"chr21"	34400571	34401572	"-"	"C21orf140"
"5566"	"chr19"	34403883	34404884	"+"	"PDCD2L"
"5567"	"chr21"	34423465	34424466	"-"	"AP000322.53"
"5568"	"chr6"	34425570	34426571	"-"	"RPS10-NUDT3"
"5569"	"chr6"	34425624	34426625	"-"	"RPS10"
"5570"	"chr19"	34427851	34428852	"+"	"UBA2"
"5571"	"chr15"	34436965	34437966	"-"	"GOLGA8A"
"5572"	"chr11"	34438424	34439425	"+"	"CAT"
"5573"	"chr9"	34456913	34457914	"+"	"DNAI1"
"5574"	"chr9"	34458069	34459070	"-"	"FAM219A"
"5575"	"chr14"	34461855	34462856	"-"	"SPTSSA"
"5576"	"chr14"	34462273	34463274	"-"	"EGLN3"
"5577"	"chr6"	34465560	34466561	"+"	"PACSIN1"
"5578"	"chr19"	34481137	34482138	"+"	"WTIP"
"5579"	"chr18"	34492789	34493790	"+"	"DTNA"
"5580"	"chr21"	34511774	34512775	"-"	"KCNE1"
"5581"	"chr11"	34513304	34514305	"-"	"ELF5"
"5582"	"chr20"	34515908	34516909	"+"	"DYNLRB1"
"5583"	"chr9"	34522540	34523541	"-"	"ENHO"
"5584"	"chr14"	34539210	34540211	"-"	"EAPP"
"5585"	"chr20"	34546353	34547354	"+"	"MAP1LC3A"
"5586"	"chr6"	34555832	34556833	"-"	"SPDEF"
"5587"	"chr17"	34580248	34581249	"+"	"TMEM132E"
"5588"	"chr15"	34588002	34589003	"-"	"GOLGA8B"
"5589"	"chr9"	34589639	34590640	"-"	"CNTFR"
"5590"	"chr9"	34611603	34612604	"-"	"RPP25L"
"5591"	"chr21"	34614641	34615642	"-"	"RCAN1"
"5592"	"chr9"	34620022	34621023	"-"	"DCTN3"
"5593"	"chr11"	34620592	34621593	"+"	"EHF"
"5594"	"chr9"	34627606	34628607	"-"	"ARID3C"
"5595"	"chr14"	34629682	34630683	"-"	"SNX6"
"5596"	"chr9"	34637308	34638309	"-"	"SIGMAR1"
"5597"	"chr9"	34637632	34638633	"+"	"GALT"
"5598"	"chr9"	34646144	34647145	"+"	"RP11-195F19.29"
"5599"	"chr9"	34650201	34651202	"+"	"IL11RA"
"5600"	"chr5"	34655736	34656737	"+"	"RAI14"
"5601"	"chrX"	34656787	34657788	"-"	"TMEM47"
"5602"	"chr7"	34657738	34658739	"+"	"NPSR1"
"5603"	"chr9"	34663547	34664548	"-"	"CCL27"
"5604"	"chr9"	34665611	34666612	"-"	"RP11-195F19.5"
"5605"	"chr21"	34668888	34669889	"+"	"CLIC6"
"5606"	"chr19"	34675198	34676199	"-"	"SCGB2B2"
"5607"	"chr19"	34677138	34678139	"+"	"ZNF302"
"5608"	"chr9"	34690776	34691777	"-"	"CCL19"
"5609"	"chr6"	34696358	34697359	"-"	"C6orf106"
"5610"	"chr20"	34698289	34699290	"-"	"PIGU"
"5611"	"chr20"	34703789	34704790	"+"	"TP53INP2"
"5612"	"chr9"	34709623	34710624	"-"	"CCL21"
"5613"	"chr14"	34714322	34715323	"-"	"CFL2"
"5614"	"chr9"	34728966	34729967	"-"	"FAM205A"
"5615"	"chr19"	34733654	34734655	"+"	"ZNF181"
"5616"	"chr15"	34754464	34755465	"-"	"GJD2"
"5617"	"chr1"	34754546	34755547	"+"	"GJB5"
"5618"	"chr6"	34756905	34757906	"+"	"SNRPC"
"5619"	"chr1"	34759240	34760241	"+"	"GJB4"
"5620"	"chr19"	34772728	34773729	"-"	"ZNF599"
"5621"	"chr1"	34780688	34781689	"+"	"GJB3"
"5622"	"chr6"	34791514	34792515	"+"	"UHRF1BP1"
"5623"	"chr1"	34792497	34793498	"+"	"GJA4"
"5624"	"chr15"	34795638	34796639	"-"	"ACTC1"
"5625"	"chr10"	34814824	34815825	"-"	"PARD3"
"5626"	"chr20"	34825148	34826149	"-"	"NCOA6"
"5627"	"chr5"	34838332	34839333	"+"	"TTC23L"
"5628"	"chr1"	34859315	34860316	"-"	"SMIM12"
"5629"	"chr20"	34871645	34872646	"+"	"ACSS2"
"5630"	"chr20"	34872359	34873360	"-"	"GGT7"
"5631"	"chr14"	34875146	34876147	"-"	"BAZ1A"
"5632"	"chr6"	34887588	34888589	"-"	"TAF11"
"5633"	"chr6"	34888764	34889765	"+"	"ANKS1A"
"5634"	"chr9"	34895277	34896278	"-"	"FAM205C"
"5635"	"chr5"	34914875	34915876	"+"	"BRIX1"
"5636"	"chr11"	34915328	34916329	"+"	"PDHX"
"5637"	"chr11"	34915998	34916999	"-"	"APIP"
"5638"	"chr5"	34918488	34919489	"-"	"RAD1"
"5639"	"chr19"	34926402	34927403	"+"	"ZNF30"
"5640"	"chr1"	34929084	34930085	"-"	"DLGAP3"
"5641"	"chr5"	34929092	34930093	"+"	"DNAJC21"
"5642"	"chr13"	34941786	34942787	"+"	"NBEA"
"5643"	"chrX"	34942295	34943296	"+"	"FAM47B"
"5644"	"chr20"	34955316	34956317	"-"	"GSS"
"5645"	"chr9"	34957107	34958108	"+"	"PHF24"
"5646"	"chr17"	34961029	34962030	"+"	"ZNF830"
"5647"	"chr19"	34963548	34964549	"-"	"ZNF792"
"5648"	"chr15"	34969338	34970339	"-"	"AQR"
"5649"	"chr20"	34974902	34975903	"+"	"MYH7B"
"5650"	"chr18"	34976427	34977428	"+"	"MAPRE2"
"5651"	"chr17"	34979993	34980994	"+"	"LIG3"
"5652"	"chr17"	34980577	34981578	"-"	"CCT6B"
"5653"	"chr14"	34981456	34982457	"+"	"SRP54"
"5654"	"chr1"	34984852	34985853	"-"	"TMEM35B"
"5655"	"chr15"	34987786	34988787	"-"	"ZNF770"
"5656"	"chr9"	34989140	34990141	"+"	"DNAJB5"
"5657"	"chr19"	34994283	34995284	"+"	"GRAMD1A"
"5658"	"chr19"	35029965	35030966	"+"	"SCN1B"
"5659"	"chr1"	35031240	35032241	"-"	"RP11-244H3.4"
"5660"	"chr1"	35031467	35032468	"-"	"ZMYM6"
"5661"	"chr7"	35037770	35038771	"-"	"DPY19L1"
"5662"	"chr19"	35040005	35041006	"+"	"HPN"
"5663"	"chr9"	35040594	35041595	"+"	"C9orf131"
"5664"	"chr14"	35044406	35045407	"+"	"FAM177A1"
"5665"	"chr5"	35047634	35048635	"-"	"AGXT2"
"5666"	"chr1"	35059285	35060286	"+"	"ZMYM1"
"5667"	"chr22"	35065635	35066636	"+"	"ISX"
"5668"	"chr9"	35072748	35073749	"-"	"VCP"
"5669"	"chr9"	35079515	35080516	"-"	"FANCG"
"5670"	"chr15"	35084609	35085610	"-"	"NANOGP8"
"5671"	"chr17"	35088818	35089819	"-"	"RFFL"
"5672"	"chr10"	35090141	35091142	"-"	"CUL2"
"5673"	"chr20"	35092370	35093371	"-"	"TRPC4AP"
"5674"	"chr9"	35096100	35097101	"-"	"PIGO"
"5675"	"chr9"	35102694	35103695	"-"	"STOML2"
"5676"	"chr19"	35115378	35116379	"+"	"FXYD3"
"5677"	"chr9"	35115840	35116841	"-"	"FAM214B"
"5678"	"chr17"	35120992	35121993	"-"	"RAD51L3-RFFL"
"5679"	"chr17"	35121021	35122022	"-"	"RAD51D"
"5680"	"chr17"	35121078	35122079	"+"	"FNDC8"
"5681"	"chr14"	35121345	35122346	"+"	"KIAA0391"
"5682"	"chr14"	35122016	35123017	"-"	"PPP2R3C"
"5683"	"chr14"	35122048	35123049	"+"	"RP11-561B11.2"
"5684"	"chr10"	35126290	35127291	"+"	"CREM"
"5685"	"chr19"	35138307	35139308	"+"	"FXYD1"
"5686"	"chr11"	35138369	35139370	"+"	"CD44"
"5687"	"chr17"	35141814	35142815	"-"	"NLE1"
"5688"	"chr19"	35141950	35142951	"-"	"LGI4"
"5689"	"chr19"	35142749	35143750	"+"	"FXYD7"
"5690"	"chr20"	35146863	35147864	"-"	"EDEM2"
"5691"	"chr17"	35147316	35148317	"+"	"UNC45B"
"5692"	"chr6"	35148109	35149110	"-"	"TCP11"
"5693"	"chr19"	35154229	35155230	"+"	"FXYD5"
"5694"	"chr9"	35161491	35162492	"+"	"UNC13B"
"5695"	"chr20"	35171572	35172573	"+"	"PROCR"
"5696"	"chr1"	35192647	35193648	"-"	"SFPQ"
"5697"	"chr17"	35194022	35195023	"-"	"SLC35G3"
"5698"	"chr6"	35213918	35214919	"+"	"SCUBE3"
"5699"	"chr20"	35226153	35227154	"+"	"MMP24"
"5700"	"chr19"	35228228	35229229	"-"	"FAM187B"
"5701"	"chr5"	35230088	35231089	"-"	"PRLR"
"5702"	"chr8"	35234956	35235957	"+"	"UNC5D"
"5703"	"chr18"	35240529	35241530	"+"	"ZNF397"
"5704"	"chr17"	35242535	35243536	"+"	"SLFN5"
"5705"	"chr10"	35246524	35247525	"+"	"CCNY"
"5706"	"chr19"	35247829	35248830	"+"	"LSR"
"5707"	"chr7"	35253646	35254647	"-"	"TBX20"
"5708"	"chr22"	35256951	35257952	"+"	"HMGXB4"
"5709"	"chr6"	35258408	35259409	"+"	"ZNF76"
"5710"	"chr1"	35268466	35269467	"+"	"ZMYM4"
"5711"	"chr19"	35268477	35269478	"+"	"USF2"
"5712"	"chr20"	35277630	35278631	"-"	"MMP24-AS1"
"5713"	"chr14"	35278132	35279133	"+"	"PSMA6"
"5714"	"chr20"	35279542	35280543	"-"	"RP4-614O4.11"
"5715"	"chr19"	35280215	35281216	"+"	"HAMP"
"5716"	"chr20"	35284484	35285485	"-"	"EIF6"
"5717"	"chr18"	35289744	35290745	"-"	"ZSCAN30"
"5718"	"chr19"	35291624	35292625	"+"	"MAG"
"5719"	"chr20"	35291900	35292901	"-"	"FAM83C"
"5720"	"chr6"	35297351	35298352	"+"	"DEF6"
"5721"	"chr22"	35298774	35299775	"+"	"TOM1"
"5722"	"chr19"	35318760	35319761	"+"	"CD22"
"5723"	"chr6"	35342057	35343058	"+"	"PPARD"
"5724"	"chr18"	35344981	35345982	"-"	"ZNF24"
"5725"	"chr19"	35351051	35352052	"+"	"FFAR1"
"5726"	"chr19"	35357959	35358960	"+"	"FFAR3"
"5727"	"chr19"	35370428	35371429	"+"	"GPR42"
"5728"	"chr17"	35373200	35374201	"-"	"SLFN11"
"5729"	"chr18"	35376836	35377837	"-"	"ZNF396"
"5730"	"chr22"	35379860	35380861	"+"	"HMOX1"
"5731"	"chr22"	35399562	35400563	"+"	"MCM5"
"5732"	"chr14"	35404248	35405249	"-"	"NFKBIA"
"5733"	"chr20"	35411640	35412641	"-"	"UQCC1"
"5734"	"chr11"	35419562	35420563	"-"	"SLC1A2"
"5735"	"chr20"	35432528	35433529	"+"	"GDF5OS"
"5736"	"chr17"	35432782	35433783	"-"	"SLFN12"
"5737"	"chr19"	35443406	35444407	"+"	"FFAR2"
"5738"	"chr17"	35448336	35449337	"-"	"SLFN13"
"5739"	"chr6"	35451860	35452861	"+"	"FANCE"
"5740"	"chr20"	35454245	35455246	"-"	"GDF5"
"5741"	"chr20"	35454663	35455664	"+"	"CEP250"
"5742"	"chr6"	35467907	35468908	"+"	"RPL10A"
"5743"	"chr13"	35476708	35477709	"-"	"MAB21L1"
"5744"	"chr9"	35489626	35490627	"+"	"RUSC2"
"5745"	"chr19"	35495057	35496058	"-"	"KRTDAP"
"5746"	"chr6"	35496575	35497576	"-"	"TEAD3"
"5747"	"chr18"	35497439	35498440	"-"	"RP11-322E11.6"
"5748"	"chr18"	35497490	35498491	"-"	"INO80C"
"5749"	"chr6"	35512437	35513438	"-"	"TULP1"
"5750"	"chr19"	35513157	35514158	"-"	"DMKN"
"5751"	"chr19"	35527850	35528851	"-"	"SBSN"
"5752"	"chr20"	35529151	35530152	"-"	"C20orf173"
"5753"	"chr11"	35529799	35530800	"-"	"PAMR1"
"5754"	"chr19"	35532911	35533912	"+"	"GAPDHS"
"5755"	"chr14"	35533541	35534542	"+"	"INSM2"
"5756"	"chr17"	35537360	35538361	"-"	"SLFN12L"
"5757"	"chr22"	35540367	35541368	"+"	"RASD2"
"5758"	"chr20"	35541520	35542521	"+"	"ERGIC3"
"5759"	"chr19"	35545094	35546095	"+"	"TMEM147"
"5760"	"chr15"	35545692	35546693	"-"	"DPH6"
"5761"	"chr1"	35556972	35557973	"+"	"NCDN"
"5762"	"chr1"	35557449	35558450	"-"	"KIAA0319L"
"5763"	"chr17"	35557597	35558598	"-"	"SLFN14"
"5764"	"chr19"	35563157	35564158	"-"	"ATP4A"
"5765"	"chr9"	35563398	35564399	"-"	"FAM166B"
"5766"	"chr1"	35572869	35573870	"+"	"TFAP2E"
"5767"	"chr17"	35577545	35578546	"+"	"AP2B1"
"5768"	"chr17"	35578362	35579363	"-"	"PEX12"
"5769"	"chr18"	35580616	35581617	"+"	"GALNT1"
"5770"	"chr19"	35585759	35586760	"+"	"LLNLR-275H8.1"
"5771"	"chr9"	35604804	35605805	"+"	"TESK1"
"5772"	"chr10"	35604909	35605910	"+"	"GJD4"
"5773"	"chr19"	35612243	35613244	"+"	"HAUS5"
"5774"	"chr20"	35615391	35616392	"+"	"SPAG4"
"5775"	"chr5"	35617343	35618344	"+"	"SPEF2"
"5776"	"chr11"	35617918	35618919	"+"	"FJX1"
"5777"	"chr19"	35628529	35629530	"+"	"RBM42"
"5778"	"chr22"	35637450	35638451	"-"	"MB"
"5779"	"chr3"	35638444	35639445	"+"	"ARPP21"
"5780"	"chr19"	35641244	35642245	"+"	"ETV2"
"5781"	"chr1"	35641343	35642344	"-"	"PSMB2"
"5782"	"chr10"	35641777	35642778	"-"	"FZD8"
"5783"	"chr9"	35646309	35647310	"-"	"CD72"
"5784"	"chr19"	35647722	35648723	"+"	"COX6B1"
"5785"	"chr22"	35647894	35648895	"+"	"APOL6"
"5786"	"chr9"	35650449	35651450	"-"	"SIT1"
"5787"	"chr9"	35657789	35658790	"+"	"CCDC107"
"5788"	"chr11"	35662304	35663305	"+"	"TRIM44"
"5789"	"chr20"	35664455	35665456	"-"	"CPNE1"
"5790"	"chr20"	35664455	35665456	"-"	"RBM12"
"5791"	"chr19"	35666015	35667016	"+"	"UPK1A"
"5792"	"chr9"	35673355	35674356	"+"	"CA9"
"5793"	"chr20"	35674043	35675044	"-"	"RP1-309K20.6"
"5794"	"chr9"	35675365	35676366	"-"	"ARHGEF39"
"5795"	"chr9"	35690519	35691520	"-"	"TPM2"
"5796"	"chr7"	35695070	35696071	"-"	"HERPUD2"
"5797"	"chr20"	35698771	35699772	"+"	"ROMO1"
"5798"	"chr20"	35698858	35699859	"-"	"NFS1"
"5799"	"chr19"	35704026	35705027	"+"	"ZBTB32"
"5800"	"chr17"	35713290	35714291	"+"	"TAF15"
"5801"	"chr22"	35717371	35718372	"+"	"APOL5"
